Format
filename:hash | version1, version1.2, etc...

----------------x32-----------------
libcrypto.so.1.1:dfb2b90976419380676447d4cff766af | 10.0.1 , 10.0.2 , 10.0.4 , 10.0.5 , 10.0.6
libevent-2.1.so.7:e1c2638536ed1add62f0fa9314974851 | 10.0.1 , 10.0.10 , 10.0.12 , 10.0.13 , 10.0.14 , 10.0.15 , 10.0.17 , 10.0.18 , 10.0.2 , 10.0.4 , 10.0.5 , 10.0.6 , 10.0.7 , 10.0.8 , 10.0.9 , 10.0 , 10.0a5 , 10.0a6 , 10.0a7
libssl.so.1.1:fa368100b78809f319f155da53813bd2 | 10.0.1 , 10.0.2 , 10.0.4 , 10.0.5 , 10.0.6
libstdc++.so.6:49850ab47fdafaf92808f68dbba04385 | 10.0.1 , 10.0.10 , 10.0.12 , 10.0.13 , 10.0.14 , 10.0.15 , 10.0.17 , 10.0.18 , 10.0.2 , 10.0.4 , 10.0.5 , 10.0.6 , 10.0.7 , 10.0.8 , 10.0.9 , 10.0 , 10.0a5 , 10.0a6 , 10.0a7
tor:75fd83e51f7b9cecc6df3797debd489c | 10.0.1 , 10.0.2 , 10.0.4
libcrypto.so.1.1:28d2088c89bd2912c8d17d69f54ed79c | 10.0.10 , 10.0.7 , 10.0.8 , 10.0.9
libssl.so.1.1:73b655c99d727d3751b030355e538d6f | 10.0.10 , 10.0.7 , 10.0.8 , 10.0.9
tor:dbda1c0d2c4ed3343671525b9996fb55 | 10.0.10
libcrypto.so.1.1:10d920483e07c7b3456d7a599e3cb3b3 | 10.0.12 , 10.0.13 , 10.0.14
libssl.so.1.1:f4ec1da7000b5715e2815986961d15cc | 10.0.12 , 10.0.13 , 10.0.14
tor:111a40e8b13e7279872647682397da8d | 10.0.12 , 10.0.13
tor:2ca9dd3a8bf7de5a846736b05f94c870 | 10.0.14
libcrypto.so.1.1:a75c4b9dca685222a6a0ea39836725e6 | 10.0.15 , 10.0.17 , 10.0.18
libssl.so.1.1:fa20a2149693f1c45f970c2a2ba4bd94 | 10.0.15 , 10.0.17 , 10.0.18
tor:2f7985e05bd684ea8aa16c8d91c12816 | 10.0.15
tor:005b35cdd912006ade43d68409a33713 | 10.0.17
tor:222f4e2520e0f8697bc84fb7d706a0be | 10.0.18
tor:f8921b141d96a2da3592df2d3425ca87 | 10.0.5 , 10.0.6
tor:4f64db6a3735fdaf3e0c77d4bb758569 | 10.0.7 , 10.0.8 , 10.0.9
libcrypto.so.1.1:a7258ba20bc7ec285c60dfa6e0759529 | 10.0 , 10.0a5 , 10.0a6 , 10.0a7
libssl.so.1.1:1264811d428365cce209370362e26d14 | 10.0 , 10.0a5 , 10.0a6 , 10.0a7
tor:77353c89229e5da83b043fea633838f1 | 10.0
libcrypto.so.1.1:949269f45edf6acb89f452adedf41cac | 10.0a1 , 10.0a2 , 10.0a4 , 9.0.10 , 9.5.1 , 9.5.3 , 9.5.4 , 9.5 , 9.5a12 , 9.5a13
libevent-2.1.so.7:74faa46c78f10ce7a984881b369b222c | 10.0a1 , 10.0a2 , 10.0a4 , 9.5.1 , 9.5.3 , 9.5.4 , 9.5 , 9.5a12 , 9.5a13
libssl.so.1.1:a2c00e4e056a07c97036f242badee534 | 10.0a1 , 10.0a2 , 10.0a4 , 9.0.10 , 9.5.1 , 9.5.3 , 9.5.4 , 9.5 , 9.5a12 , 9.5a13
libstdc++.so.6:628fa1ad679e63afa3273da20481f0b2 | 10.0a1 , 10.0a2 , 10.0a4 , 9.0.1 , 9.0.10 , 9.0.2 , 9.0.3 , 9.0.4 , 9.0.5 , 9.0.6 , 9.0.7 , 9.0.8 , 9.0.9 , 9.0 , 9.0a2 , 9.0a3 , 9.0a4 , 9.0a6 , 9.0a7 , 9.0a8 , 9.5.1 , 9.5.3 , 9.5.4 , 9.5 , 9.5a1 , 9.5a10 , 9.5a11 , 9.5a12 , 9.5a13 , 9.5a2 , 9.5a3 , 9.5a4 , 9.5a5 , 9.5a6 , 9.5a7 , 9.5a8 , 9.5a9
tor:6d20b96b98658598c333b17f81e0dedf | 10.0a1 , 9.5 , 9.5a13
tor:9fddcd848d0ab0d3a9a4ce0e64c69f8e | 10.0a2
tor:8ac9b2d1f6a451360a25359250917877 | 10.0a4
tor:4cacc266a41da0aab1e24ed224d06649 | 10.0a5 , 10.0a6 , 10.0a7
libcrypto.so.1.1:df6db5d03e3737ae6523549dfaae2731 | 10.5.10 , 10.5.6 , 10.5.8 , 11.0a7
libevent-2.1.so.7:35ef5f4666470df80e4aa1cc9542ea01 | 10.5.10 , 10.5.2 , 10.5.4 , 10.5.5 , 10.5.6 , 10.5.8 , 10.5 , 10.5a11 , 10.5a13 , 10.5a14 , 10.5a15 , 10.5a16 , 10.5a17 , 10.5a3 , 10.5a4 , 10.5a6 , 10.5a7 , 10.5a8 , 11.0a2 , 11.0a4 , 11.0a5 , 11.0a7
libssl.so.1.1:32cb3ba986d1953b0bf2926feed7e197 | 10.5.10 , 10.5.6 , 10.5.8 , 11.0a7
libstdc++.so.6:6e94131d39a7f6044705e4f6e1f70bb8 | 10.5.10 , 10.5.2 , 10.5.4 , 10.5.5 , 10.5.6 , 10.5.8 , 10.5 , 10.5a11 , 10.5a13 , 10.5a14 , 10.5a15 , 10.5a16 , 10.5a17 , 10.5a8 , 11.0a2 , 11.0a4 , 11.0a5 , 11.0a7
tor:bb78821c6254921f531953957aff786d | 10.5.10 , 10.5.6 , 10.5.8
libcrypto.so.1.1:4ef9c74b4a2971240c78b1cbbd9554db | 10.5.2 , 10.5.4 , 10.5.5 , 10.5 , 10.5a13 , 10.5a14 , 10.5a15 , 10.5a16 , 10.5a17 , 11.0a2 , 11.0a4 , 11.0a5
libssl.so.1.1:801a9d4c19799787386d29f93054f47b | 10.5.2 , 10.5.4 , 10.5.5 , 10.5 , 10.5a13 , 10.5a14 , 10.5a15 , 10.5a16 , 10.5a17 , 11.0a2 , 11.0a4 , 11.0a5
tor:477766fbb31e8a72a79f96e7978854a9 | 10.5.2 , 10.5.4 , 10.5
tor:e6a6da764f2ac2ec3451aec70a6ebf61 | 10.5.5
libcrypto.so.1.1:c283b41f1ce3ee9b8da86353d0144541 | 10.5a1
libevent-2.1.so.7:e7421fd42ea4c3ac0d66cc014988e11a | 10.5a1 , 10.5a2
libssl.so.1.1:207edf2a145a75657342926faa82a3a1 | 10.5a1
libstdc++.so.6:00434f7ceac5fa32f1f0a30fd5971c74 | 10.5a1 , 10.5a2 , 10.5a3 , 10.5a4 , 10.5a6 , 10.5a7
tor:1c1ffba4600e40a3c1d60415c3dd4f86 | 10.5a1
libcrypto.so.1.1:7fbb7e0923f5b9fc2cb7f9e50d30a3a6 | 10.5a11
libssl.so.1.1:92366ab284cff66ae8ebe4ffa3b7675b | 10.5a11
tor:6bcad13326d8271e4eaa9262f1868abe | 10.5a11
tor:ff07492b3bb3e007077de60e7d2c35bf | 10.5a13 , 10.5a14
tor:14be46ea1a2004c711c15e3494dee5a5 | 10.5a15
tor:088b3ca43d2aa9f83f8ca28e2b73282c | 10.5a16
tor:e4578d7b3a7d01dd6a46aeb1b0d6e441 | 10.5a17 , 11.0a2 , 11.0a4
libcrypto.so.1.1:c3190eedf3e2000a2da8a510f09ed216 | 10.5a2 , 10.5a3 , 10.5a4
libssl.so.1.1:af796bc3f47c565016db4d21fabab232 | 10.5a2 , 10.5a3 , 10.5a4
tor:a1853de1485a20234ccec4cf4963c047 | 10.5a2
tor:8c0f6c4d13b05a844748eb2c2be3c58b | 10.5a3
tor:b8ec55adbb325641abfa06edca9db585 | 10.5a4
libcrypto.so.1.1:dd5a2090be4fd04c6c12433929d6c00b | 10.5a6 , 10.5a7 , 10.5a8
libssl.so.1.1:ae9d00489a4e3642c191ae536727aed1 | 10.5a6 , 10.5a7 , 10.5a8
tor:12d7937a474d9aed5f3d3c2cf70327da | 10.5a6
tor:04e45116c78d635bd7d8755cacdac93f | 10.5a7
tor:8647c10c5688846b334a5c1d3f0e97b7 | 10.5a8
libcrypto.so.1.1:97746b98a5dd7e1333041a264f7f57db | 11.0.1 , 11.0.2 , 11.0 , 11.0a10 , 11.0a9 , 11.5a1
